,Country,Country Telugu
103,Brazil,బ్రెజిల్
104,Colombia,కొలంబియా
105,,
106,South Africa,దక్షిణాఫ్రికా
107,Guinea-Bissau,గినియా-బిస్సౌ
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,Brazil,బ్రెజిల్
118,,
119,Brazil,బ్రెజిల్
120,Madagascar,మడగాస్కర్
121,,
122,,
123,United Kingdom,యునైటెడ్ కింగ్డమ్
124,,
125,Seychelles,స్వీచెస్
126,Comoros,కొమోరోస్
127,India,భారతదేశం
128,,
129,,
130,United Arab Emirates,యునైటెడ్ అరబ్ ఎమిరేట్స్
131,Algeria,అల్జీరియా
132,,
133,United States,యునైటెడ్ స్టేట్స్
134,,
135,,
136,,
137,,
138,Spain,స్పెయిన్
139,,
140,Guinea,గినియా
141,Switzerland,స్విట్జర్లాండ్
142,,
143,,
144,,
145,Mongolia,మంగోలియా
146,Kazakhstan,కజాఖ్స్తాన్
147,,
148,Mexico,మెక్సికో
149,Japan,జపాన్
150,Japan,జపాన్
151,,
152,,
153,Argentina,అర్జెంటీనా
154,,
155,French Guiana,ఫ్రెంచ్ గియానా
156,French Guiana,ఫ్రెంచ్ గియానా
157,Colombia,కొలంబియా
158,French Guiana,ఫ్రెంచ్ గియానా
159,Colombia,కొలంబియా
160,Argentina,అర్జెంటీనా
161,,
162,Colombia,కొలంబియా
163,,
164,,
165,,
166,,
167,Indonesia,ఇండోనేషియా
168,Guinea,గినియా
169,,
170,,
171,Bahamas,బహామాస్
172,United States,యునైటెడ్ స్టేట్స్
173,United States,యునైటెడ్ స్టేట్స్
174,United States,యునైటెడ్ స్టేట్స్
175,,
176,United States,యునైటెడ్ స్టేట్స్
177,,
178,,
179,,
180,,
181,Dominica,డోమినికా
182,,
183,,
184,,
185,United States,యునైటెడ్ స్టేట్స్
186,,
187,,
188,Ecuador,ఈక్వెడార్
189,,
190,,
191,,
192,,
193,United States,యునైటెడ్ స్టేట్స్
194,,
195,Brazil,బ్రెజిల్
196,Canada,కెనడా
197,,
198,Philippines,ఫిలిప్పీన్స్
199,,
200,French Guiana,ఫ్రెంచ్ గియానా
201,El Salvador,ఎల్ సాల్వడార్
202,Colombia,కొలంబియా
203,,
204,India,భారతదేశం
205,,
206,China,చైనా
207,China,చైనా
208,,
209,Peru,పెరూ
210,Angola,అంగోల్వా
211,Mozambique,మొజాంబిక్
212,Ecuador,ఈక్వెడార్
213,,
214,,
215,,
216,India,భారతదేశం
217,,
218,,
219,India,భారతదేశం
220,,
221,,
222,,
223,Myanmar,మయన్మార్
224,,
225,,
226,India,భారతదేశం
227,,
228,,
229,India,భారతదేశం
230,India,భారతదేశం
231,India,భారతదేశం
232,Argentina,అర్జెంటీనా
233,Cuba,క్యూబా
234,,
235,,
236,,
237,Colombia,కొలంబియా
238,Chile,చిలీ
239,,
240,,
241,Argentina,అర్జెంటీనా
242,Argentina,అర్జెంటీనా
243,Argentina,అర్జెంటీనా
244,,
245,Colombia,కొలంబియా
246,Argentina,అర్జెంటీనా
247,Colombia,కొలంబియా
248,,
249,Peru,పెరూ
250,Colombia,కొలంబియా
251,Colombia,కొలంబియా
252,Colombia,కొలంబియా
253,Argentina,అర్జెంటీనా
254,Colombia,కొలంబియా
255,Argentina,అర్జెంటీనా
256,,
257,Colombia,కొలంబియా
258,,
259,Colombia,కొలంబియా
260,Angola,అంగోల్వా
261,Namibia,నమిబియా
262,Angola,అంగోల్వా
263,,
264,Angola,అంగోల్వా
265,Angola,అంగోల్వా
266,,
267,,
268,,
269,,
270,Comoros,కొమోరోస్
271,,
272,,
273,,
274,,
275,,
276,,
277,Antarctica,అంటార్కిటికా
278,,
279,,
280,Antarctica,అంటార్కిటికా
281,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
282,South Africa,దక్షిణాఫ్రికా
283,,
284,Saint Vincent and the Grenadines,సెయింట్ విన్సెంట్ మరియు ది గ్రెనేడైన్స్
285,Dominican Republic,డొమినికన్ రిపబ్లిక్
286,"Virgin Islands, U.S.","వర్జిన్ దీవులు, యు.ఎస్."
287,Cuba,క్యూబా
288,,
289,Dominican Republic,డొమినికన్ రిపబ్లిక్
290,,
291,Colombia,కొలంబియా
292,Colombia,కొలంబియా
293,,
294,,
295,New Zealand,న్యూజిలాండ్
296,,
297,Colombia,కొలంబియా
298,Brazil,బ్రెజిల్
299,Philippines,ఫిలిప్పీన్స్
300,Philippines,ఫిలిప్పీన్స్
301,Colombia,కొలంబియా
302,,
303,Australia,ఆస్ట్రేలియా
304,,
305,Indonesia,ఇండోనేషియా
306,,
307,Peru,పెరూ
308,Belarus,బెలారస్
309,Yemen,యెమెన్
310,,
311,,
312,Djibouti,డ్జిబౌటి
313,Saudi Arabia,సౌదీ అరేబియా
314,,
315,,
316,Saudi Arabia,సౌదీ అరేబియా
317,Saudi Arabia,సౌదీ అరేబియా
318,,
319,Saudi Arabia,సౌదీ అరేబియా
320,,
321,Australia,ఆస్ట్రేలియా
322,,
323,Brazil,బ్రెజిల్
324,Argentina,అర్జెంటీనా
325,Guinea,గినియా
326,Madagascar,మడగాస్కర్
327,,
328,,
329,Somalia,సోమాలియా
330,,
331,,
332,Greenland,గ్రీన్ ల్యాండ్
333,Netherlands,నెదర్లాండ్స్
334,Japan,జపాన్
335,,
336,Australia,ఆస్ట్రేలియా
337,Indonesia,ఇండోనేషియా
338,Brazil,బ్రెజిల్
339,Mexico,మెక్సికో
340,Armenia,ఆర్మేనియా
341,South Africa,దక్షిణాఫ్రికా
342,French Guiana,ఫ్రెంచ్ గియానా
343,Jamaica,జమైకా
344,,
345,,
346,,
347,,
348,India,భారతదేశం
349,Colombia,కొలంబియా
350,Argentina,అర్జెంటీనా
351,Peru,పెరూ
352,Colombia,కొలంబియా
353,Argentina,అర్జెంటీనా
354,Colombia,కొలంబియా
355,,
356,Peru,పెరూ
357,Brazil,బ్రెజిల్
358,Trinidad and Tobago,ట్రినిడాడ్ మరియు టొబాగో
359,United States,యునైటెడ్ స్టేట్స్
360,Ecuador,ఈక్వెడార్
361,French Guiana,ఫ్రెంచ్ గియానా
362,India,భారతదేశం
363,South Sudan,దక్షిణ సుడాన్
364,,
365,Indonesia,ఇండోనేషియా
366,South Africa,దక్షిణాఫ్రికా
367,,
368,Papua New Guinea,పపువా న్యూ గినియా
369,Bangladesh,బంగ్లాదేశ్
370,Guinea,గినియా
371,Kenya,కెన్యా
372,Mexico,మెక్సికో
373,Philippines,ఫిలిప్పీన్స్
374,Philippines,ఫిలిప్పీన్స్
375,South Africa,దక్షిణాఫ్రికా
376,,
377,Indonesia,ఇండోనేషియా
378,,
379,,
380,Philippines,ఫిలిప్పీన్స్
381,,
382,Dominican Republic,డొమినికన్ రిపబ్లిక్
383,Philippines,ఫిలిప్పీన్స్
384,,
385,,
386,Bangladesh,బంగ్లాదేశ్
387,French Guiana,ఫ్రెంచ్ గియానా
388,,
389,Colombia,కొలంబియా
390,Costa Rica,కోస్టా రికా
391,China,చైనా
392,Pakistan,పాకిస్థాన్
393,Bangladesh,బంగ్లాదేశ్
394,Indonesia,ఇండోనేషియా
395,Pakistan,పాకిస్థాన్
396,Mongolia,మంగోలియా
397,,
398,Bangladesh,బంగ్లాదేశ్
399,Philippines,ఫిలిప్పీన్స్
400,Philippines,ఫిలిప్పీన్స్
401,Indonesia,ఇండోనేషియా
402,Cuba,క్యూబా
403,China,చైనా
404,India,భారతదేశం
405,Philippines,ఫిలిప్పీన్స్
406,,
407,Mongolia,మంగోలియా
408,Mongolia,మంగోలియా
409,China,చైనా
410,,
411,Myanmar,మయన్మార్
412,,
413,,
414,Guatemala,గ్వాటెమాల
415,Cook Islands,కుక్ ద్వీపాలు
416,,
417,Namibia,నమిబియా
418,Faroe Islands,ఫారో దీవులు
419,Brazil,బ్రెజిల్
420,India,భారతదేశం
421,,
422,French Polynesia,ఫ్రెంచ్ పాలినేషియా
423,,
424,New Zealand,న్యూజిలాండ్
425,New Zealand,న్యూజిలాండ్
426,New Zealand,న్యూజిలాండ్
427,Netherlands,నెదర్లాండ్స్
428,,
429,,
430,United States,యునైటెడ్ స్టేట్స్
431,Ethiopia,ఇథియోపియా
432,Thailand,థాయిలాండ్
433,Argentina,అర్జెంటీనా
434,Argentina,అర్జెంటీనా
435,South Georgia and the South Sandwich Islands,దక్షిణ జార్జియా మరియు దక్షిణ శాండ్ విచ్ ద్వీపాలు
436,,
437,Argentina,అర్జెంటీనా
438,Argentina,అర్జెంటీనా
439,Argentina,అర్జెంటీనా
440,New Zealand,న్యూజిలాండ్
441,Papua New Guinea,పపువా న్యూ గినియా
442,Australia,ఆస్ట్రేలియా
443,Norfolk Island,నార్ఫోల్డ్ ద్వీపం
444,New Zealand,న్యూజిలాండ్
445,New Zealand,న్యూజిలాండ్
446,New Zealand,న్యూజిలాండ్
447,Papua New Guinea,పపువా న్యూ గినియా
448,New Zealand,న్యూజిలాండ్
449,Australia,ఆస్ట్రేలియా
450,Australia,ఆస్ట్రేలియా
451,,
452,Australia,ఆస్ట్రేలియా
453,Australia,ఆస్ట్రేలియా
454,Australia,ఆస్ట్రేలియా
455,Australia,ఆస్ట్రేలియా
456,Solomon Islands,సోలమన్ దీవులు
457,Australia,ఆస్ట్రేలియా
458,Australia,ఆస్ట్రేలియా
459,,
460,New Zealand,న్యూజిలాండ్
461,New Zealand,న్యూజిలాండ్
462,Australia,ఆస్ట్రేలియా
463,Australia,ఆస్ట్రేలియా
464,Papua New Guinea,పపువా న్యూ గినియా
465,Australia,ఆస్ట్రేలియా
466,Australia,ఆస్ట్రేలియా
467,Australia,ఆస్ట్రేలియా
468,Australia,ఆస్ట్రేలియా
469,Australia,ఆస్ట్రేలియా
470,Australia,ఆస్ట్రేలియా
471,,
472,Myanmar,మయన్మార్
473,South Africa,దక్షిణాఫ్రికా
474,,
475,,
476,,
477,Mexico,మెక్సికో
478,United States,యునైటెడ్ స్టేట్స్
479,Panama,పనామా
480,Indonesia,ఇండోనేషియా
481,Trinidad and Tobago,ట్రినిడాడ్ మరియు టొబాగో
482,Argentina,అర్జెంటీనా
483,,
484,,
485,Philippines,ఫిలిప్పీన్స్
486,Fiji,ఫిజీ
487,El Salvador,ఎల్ సాల్వడార్
488,,
489,Colombia,కొలంబియా
490,Guatemala,గ్వాటెమాల
491,Brazil,బ్రెజిల్
492,,
493,Angola,అంగోల్వా
494,United States,యునైటెడ్ స్టేట్స్
495,United States,యునైటెడ్ స్టేట్స్
496,Estonia,ఎస్టోనియా
497,,
498,Philippines,ఫిలిప్పీన్స్
499,Turks and Caicos Islands,టర్క్స్ మరియు కాసికోస్ ద్వీపాలు
500,Bahamas,బహామాస్
501,Bahamas,బహామాస్
502,Dominica,డోమినికా
503,Turks and Caicos Islands,టర్క్స్ మరియు కాసికోస్ ద్వీపాలు
504,Bahamas,బహామాస్
505,Brazil,బ్రెజిల్
506,Brazil,బ్రెజిల్
507,Brazil,బ్రెజిల్
508,Brazil,బ్రెజిల్
509,,
510,Thailand,థాయిలాండ్
511,,
512,,
513,Ecuador,ఈక్వెడార్
514,Mexico,మెక్సికో
515,,
516,United States,యునైటెడ్ స్టేట్స్
517,Costa Rica,కోస్టా రికా
518,,
519,,
520,Brazil,బ్రెజిల్
521,Algeria,అల్జీరియా
522,,
523,,
524,,
525,Guinea,గినియా
526,Mexico,మెక్సికో
527,,
528,Brazil,బ్రెజిల్
529,,
530,South Sudan,దక్షిణ సుడాన్
531,Thailand,థాయిలాండ్
532,Cameroon,కామెరూన్
533,Brazil,బ్రెజిల్
534,,
535,,
536,Indonesia,ఇండోనేషియా
537,Costa Rica,కోస్టా రికా
538,China,చైనా
539,Colombia,కొలంబియా
540,French Guiana,ఫ్రెంచ్ గియానా
541,Ethiopia,ఇథియోపియా
542,India,భారతదేశం
543,Indonesia,ఇండోనేషియా
544,Brazil,బ్రెజిల్
545,,
546,,
547,Colombia,కొలంబియా
548,Australia,ఆస్ట్రేలియా
549,Madagascar,మడగాస్కర్
550,,
551,Australia,ఆస్ట్రేలియా
552,,
553,Ethiopia,ఇథియోపియా
554,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
555,Mexico,మెక్సికో
556,Australia,ఆస్ట్రేలియా
557,Cameroon,కామెరూన్
558,Australia,ఆస్ట్రేలియా
559,Indonesia,ఇండోనేషియా
560,Costa Rica,కోస్టా రికా
561,Guinea,గినియా
562,,
563,Costa Rica,కోస్టా రికా
564,Austria,ఆస్ట్రియా
565,French Guiana,ఫ్రెంచ్ గియానా
566,Brazil,బ్రెజిల్
567,Guatemala,గ్వాటెమాల
568,,
569,Peru,పెరూ
570,Colombia,కొలంబియా
571,Brazil,బ్రెజిల్
572,Argentina,అర్జెంటీనా
573,French Guiana,ఫ్రెంచ్ గియానా
574,,
575,Argentina,అర్జెంటీనా
576,Argentina,అర్జెంటీనా
577,Argentina,అర్జెంటీనా
578,Argentina,అర్జెంటీనా
579,Indonesia,ఇండోనేషియా
580,,
581,Indonesia,ఇండోనేషియా
582,Cameroon,కామెరూన్
583,South Africa,దక్షిణాఫ్రికా
584,India,భారతదేశం
585,,
586,Angola,అంగోల్వా
587,Cameroon,కామెరూన్
588,Cameroon,కామెరూన్
589,Réunion,రీయూనియన్
590,China,చైనా
591,Barbados,బార్బడాస్
592,,
593,Philippines,ఫిలిప్పీన్స్
594,Cambodia,కంబోడియా
595,,
596,Colombia,కొలంబియా
597,,
598,Australia,ఆస్ట్రేలియా
599,Colombia,కొలంబియా
600,Antigua and Barbuda,అంటిగ్వా మరియు బార్బూడా
601,Colombia,కొలంబియా
602,Namibia,నమిబియా
603,,
604,Costa Rica,కోస్టా రికా
605,Brazil,బ్రెజిల్
606,Indonesia,ఇండోనేషియా
607,Netherlands,నెదర్లాండ్స్
608,Papua New Guinea,పపువా న్యూ గినియా
609,Ethiopia,ఇథియోపియా
610,Solomon Islands,సోలమన్ దీవులు
611,,
612,Argentina,అర్జెంటీనా
613,,
614,Argentina,అర్జెంటీనా
615,,
616,Mali,మాలి
617,Cuba,క్యూబా
618,,
619,,
620,India,భారతదేశం
621,,
622,Argentina,అర్జెంటీనా
623,United States,యునైటెడ్ స్టేట్స్
624,,
625,India,భారతదేశం
626,South Sudan,దక్షిణ సుడాన్
627,Fiji,ఫిజీ
628,Australia,ఆస్ట్రేలియా
629,South Africa,దక్షిణాఫ్రికా
630,South Africa,దక్షిణాఫ్రికా
631,,
632,,
633,South Africa,దక్షిణాఫ్రికా
634,Trinidad and Tobago,ట్రినిడాడ్ మరియు టొబాగో
635,Colombia,కొలంబియా
636,Costa Rica,కోస్టా రికా
637,Philippines,ఫిలిప్పీన్స్
638,,
639,Papua New Guinea,పపువా న్యూ గినియా
640,Australia,ఆస్ట్రేలియా
641,,
642,Mexico,మెక్సికో
643,Colombia,కొలంబియా
644,Costa Rica,కోస్టా రికా
645,,
646,New Caledonia,న్యూ కాలెడోనియా
647,China,చైనా
648,,
649,,
650,New Caledonia,న్యూ కాలెడోనియా
651,Colombia,కొలంబియా
652,Colombia,కొలంబియా
653,Philippines,ఫిలిప్పీన్స్
654,,
655,,
656,South Africa,దక్షిణాఫ్రికా
657,Iceland,ఐస్లాండ్
658,Australia,ఆస్ట్రేలియా
659,,
660,New Zealand,న్యూజిలాండ్
661,Pakistan,పాకిస్థాన్
662,Turkmenistan,థర్మింటన్
663,,
664,,
665,Malaysia,మలేషియా
666,,
667,,
668,Indonesia,ఇండోనేషియా
669,El Salvador,ఎల్ సాల్వడార్
670,,
671,,
672,Angola,అంగోల్వా
673,Ecuador,ఈక్వెడార్
674,Myanmar,మయన్మార్
675,Israel,ఇజ్రాయెల్
676,Australia,ఆస్ట్రేలియా
677,Mexico,మెక్సికో
678,Guinea,గినియా
679,Zimbabwe,జింబాబ్వే
680,,
681,,
682,,
683,,
684,Cameroon,కామెరూన్
685,Australia,ఆస్ట్రేలియా
686,,
687,Colombia,కొలంబియా
688,Colombia,కొలంబియా
689,Sierra Leone,సియెర్రా లియోన్
690,Peru,పెరూ
691,Indonesia,ఇండోనేషియా
692,Peru,పెరూ
693,Bangladesh,బంగ్లాదేశ్
694,,
695,India,భారతదేశం
696,,
697,Dominican Republic,డొమినికన్ రిపబ్లిక్
698,,
699,Argentina,అర్జెంటీనా
700,Brazil,బ్రెజిల్
701,Ecuador,ఈక్వెడార్
702,Costa Rica,కోస్టా రికా
703,,
704,Peru,పెరూ
705,Papua New Guinea,పపువా న్యూ గినియా
706,New Caledonia,న్యూ కాలెడోనియా
707,,
708,Colombia,కొలంబియా
709,Ecuador,ఈక్వెడార్
710,Peru,పెరూ
711,,
712,Guatemala,గ్వాటెమాల
713,,
714,French Guiana,ఫ్రెంచ్ గియానా
715,,
716,Mexico,మెక్సికో
717,,
718,,
719,Australia,ఆస్ట్రేలియా
720,Indonesia,ఇండోనేషియా
721,Colombia,కొలంబియా
722,,
723,Mexico,మెక్సికో
724,Myanmar,మయన్మార్
725,South Sudan,దక్షిణ సుడాన్
726,Panama,పనామా
727,Colombia,కొలంబియా
728,,
729,Congo,కాంగో
730,Cuba,క్యూబా
731,Oman,ఒమన్
732,China,చైనా
733,,
734,Mexico,మెక్సికో
735,Guinea,గినియా
736,Australia,ఆస్ట్రేలియా
737,United States,యునైటెడ్ స్టేట్స్
738,,
739,El Salvador,ఎల్ సాల్వడార్
740,,
741,United States,యునైటెడ్ స్టేట్స్
742,,
743,Cambodia,కంబోడియా
744,Australia,ఆస్ట్రేలియా
745,Philippines,ఫిలిప్పీన్స్
746,,
747,,
748,Colombia,కొలంబియా
749,Bermuda,బెర్ముడా
750,Bermuda,బెర్ముడా
751,Bermuda,బెర్ముడా
752,Bermuda,బెర్ముడా
753,Bermuda,బెర్ముడా
754,,
755,Madagascar,మడగాస్కర్
756,Madagascar,మడగాస్కర్
757,,
758,Argentina,అర్జెంటీనా
759,Mozambique,మొజాంబిక్
760,United States,యునైటెడ్ స్టేట్స్
761,,
762,,
763,Mexico,మెక్సికో
764,Bhutan,భూటాన్
765,Indonesia,ఇండోనేషియా
766,Indonesia,ఇండోనేషియా
767,Indonesia,ఇండోనేషియా
768,Indonesia,ఇండోనేషియా
769,Indonesia,ఇండోనేషియా
770,Indonesia,ఇండోనేషియా
771,Indonesia,ఇండోనేషియా
772,Indonesia,ఇండోనేషియా
773,Indonesia,ఇండోనేషియా
774,Indonesia,ఇండోనేషియా
775,Indonesia,ఇండోనేషియా
776,Myanmar,మయన్మార్
777,,
778,Philippines,ఫిలిప్పీన్స్
779,Colombia,కొలంబియా
780,Colombia,కొలంబియా
781,Colombia,కొలంబియా
782,Colombia,కొలంబియా
783,Philippines,ఫిలిప్పీన్స్
784,Argentina,అర్జెంటీనా
785,,
786,Colombia,కొలంబియా
787,China,చైనా
788,Turkey,టర్కీ
789,Paraguay,పరాగ్వే
790,,
791,,
792,Papua New Guinea,పపువా న్యూ గినియా
793,,
794,,
795,Papua New Guinea,పపువా న్యూ గినియా
796,Papua New Guinea,పపువా న్యూ గినియా
797,Papua New Guinea,పపువా న్యూ గినియా
798,Guinea,గినియా
799,,
800,Colombia,కొలంబియా
801,Colombia,కొలంబియా
802,Sri Lanka,శ్రీలంక
803,Australia,ఆస్ట్రేలియా
804,Papua New Guinea,పపువా న్యూ గినియా
805,,
806,Bangladesh,బంగ్లాదేశ్
807,Somalia,సోమాలియా
808,India,భారతదేశం
809,Colombia,కొలంబియా
810,Papua New Guinea,పపువా న్యూ గినియా
811,French Guiana,ఫ్రెంచ్ గియానా
812,Guatemala,గ్వాటెమాల
813,Guinea,గినియా
814,,
815,Niger,నైజర్
816,,
817,,
818,,
819,South Africa,దక్షిణాఫ్రికా
820,Dominican Republic,డొమినికన్ రిపబ్లిక్
821,,
822,Bangladesh,బంగ్లాదేశ్
823,,
824,China,చైనా
825,Australia,ఆస్ట్రేలియా
826,Guinea,గినియా
827,Colombia,కొలంబియా
828,India,భారతదేశం
829,Australia,ఆస్ట్రేలియా
830,,
831,Costa Rica,కోస్టా రికా
832,Cuba,క్యూబా
833,Guinea,గినియా
834,South Africa,దక్షిణాఫ్రికా
835,Argentina,అర్జెంటీనా
836,,
837,,
838,Australia,ఆస్ట్రేలియా
839,Brunei Darussalam,బ్రూనియన్ దరుసలామ్
840,,
841,Colombia,కొలంబియా
842,France,ఫ్రాన్స్
843,,
844,Kazakhstan,కజాఖ్స్తాన్
845,Indonesia,ఇండోనేషియా
846,Kazakhstan,కజాఖ్స్తాన్
847,,
848,,
849,French Guiana,ఫ్రెంచ్ గియానా
850,Papua New Guinea,పపువా న్యూ గినియా
851,Chile,చిలీ
852,,
853,,
854,French Guiana,ఫ్రెంచ్ గియానా
855,,
856,,
857,,
858,Singapore,సింగపూర్
859,Luxembourg,లక్సెంబర్గ్
860,,
861,Guinea,గినియా
862,,
863,,
864,New Zealand,న్యూజిలాండ్
865,United States,యునైటెడ్ స్టేట్స్
866,,
867,,
868,,
869,United Arab Emirates,యునైటెడ్ అరబ్ ఎమిరేట్స్
870,Philippines,ఫిలిప్పీన్స్
871,Guinea,గినియా
872,Argentina,అర్జెంటీనా
873,,
874,,
875,,
876,,
877,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
878,New Zealand,న్యూజిలాండ్
879,,
880,Cuba,క్యూబా
881,Indonesia,ఇండోనేషియా
882,Australia,ఆస్ట్రేలియా
883,,
884,Guinea,గినియా
885,El Salvador,ఎల్ సాల్వడార్
886,,
887,,
888,,
889,,
890,,
891,Cambodia,కంబోడియా
892,,
893,Argentina,అర్జెంటీనా
894,Philippines,ఫిలిప్పీన్స్
895,Indonesia,ఇండోనేషియా
896,Brazil,బ్రెజిల్
897,Colombia,కొలంబియా
898,India,భారతదేశం
899,Indonesia,ఇండోనేషియా
900,,
901,Argentina,అర్జెంటీనా
902,Argentina,అర్జెంటీనా
903,Colombia,కొలంబియా
904,Costa Rica,కోస్టా రికా
905,,
906,Argentina,అర్జెంటీనా
907,,
908,Argentina,అర్జెంటీనా
909,,
910,Colombia,కొలంబియా
911,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
912,Ecuador,ఈక్వెడార్
913,Colombia,కొలంబియా
914,Philippines,ఫిలిప్పీన్స్
915,,
916,,
917,Indonesia,ఇండోనేషియా
918,Afghanistan,ఆఫ్ఘనిస్తాన్
919,Costa Rica,కోస్టా రికా
920,Costa Rica,కోస్టా రికా
921,Colombia,కొలంబియా
922,Angola,అంగోల్వా
923,Australia,ఆస్ట్రేలియా
924,Colombia,కొలంబియా
925,Guinea,గినియా
926,Guinea-Bissau,గినియా-బిస్సౌ
927,Bangladesh,బంగ్లాదేశ్
928,,
929,Mexico,మెక్సికో
930,,
931,,
932,Brazil,బ్రెజిల్
933,,
934,Papua New Guinea,పపువా న్యూ గినియా
935,,
936,Argentina,అర్జెంటీనా
937,,
938,,
939,,
940,,
941,,
942,,
943,French Guiana,ఫ్రెంచ్ గియానా
944,Argentina,అర్జెంటీనా
945,Paraguay,పరాగ్వే
946,,
947,,
948,Guinea,గినియా
949,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
950,Brazil,బ్రెజిల్
951,,
952,Indonesia,ఇండోనేషియా
953,Guinea,గినియా
954,Kazakhstan,కజాఖ్స్తాన్
955,,
956,Brazil,బ్రెజిల్
957,South Africa,దక్షిణాఫ్రికా
958,South Georgia and the South Sandwich Islands,దక్షిణ జార్జియా మరియు దక్షిణ శాండ్ విచ్ ద్వీపాలు
959,Ethiopia,ఇథియోపియా
960,Pakistan,పాకిస్థాన్
961,Colombia,కొలంబియా
962,United States,యునైటెడ్ స్టేట్స్
963,Costa Rica,కోస్టా రికా
964,Philippines,ఫిలిప్పీన్స్
965,Philippines,ఫిలిప్పీన్స్
966,Indonesia,ఇండోనేషియా
967,Myanmar,మయన్మార్
968,Jamaica,జమైకా
969,Cameroon,కామెరూన్
970,Guinea,గినియా
971,Mongolia,మంగోలియా
972,Cuba,క్యూబా
973,Cuba,క్యూబా
974,Colombia,కొలంబియా
975,New Zealand,న్యూజిలాండ్
976,,
977,Canada,కెనడా
978,,
979,Costa Rica,కోస్టా రికా
980,Colombia,కొలంబియా
981,Argentina,అర్జెంటీనా
982,Ecuador,ఈక్వెడార్
983,Argentina,అర్జెంటీనా
984,,
985,Jamaica,జమైకా
986,Colombia,కొలంబియా
987,Colombia,కొలంబియా
988,South Sudan,దక్షిణ సుడాన్
989,South Africa,దక్షిణాఫ్రికా
990,,
991,Mali,మాలి
992,Argentina,అర్జెంటీనా
993,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
994,Guinea,గినియా
995,Australia,ఆస్ట్రేలియా
996,Australia,ఆస్ట్రేలియా
997,Peru,పెరూ
998,Indonesia,ఇండోనేషియా
999,,
1000,Bangladesh,బంగ్లాదేశ్
1001,Colombia,కొలంబియా
1002,Ecuador,ఈక్వెడార్
1003,India,భారతదేశం
1004,India,భారతదేశం
1005,Costa Rica,కోస్టా రికా
1006,,
1007,,
1008,Malaysia,మలేషియా
1009,Myanmar,మయన్మార్
1010,,
1011,Mozambique,మొజాంబిక్
1012,Mongolia,మంగోలియా
1013,Guinea,గినియా
1014,Canada,కెనడా
1015,Cameroon,కామెరూన్
1016,Guinea,గినియా
