,Common Name,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Regions,Subcontinents,Group name,Islands,Introduced Countries,Subclass,Infraclass,Superorder,Suborder,Subfamily,Oceans,Seas,Tribe,SUBSPECIES OF
0,lānai-hookbill,,,,,,,,,,,,,,https://animalia.bio/lānai-hookbill/,,,,,,,,,,,,,,
0,lanceolated-monklet,Animalia,Chordata,Aves,Piciformes,Bucconidae,Micromonacha,Micromonacha lanceolata,"South America,",North America,"Freshwater,Anthropogenic biome,Forest,Wetlands,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Lanceolated_monklet,https://www.iucnredlist.org/species/22682298/167875309,https://xeno-canto.org/703027",https://animalia.bio/lanceolated-monklet/,,,,,,,,,,,,,,
0,lanceolated-warbler,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella lanceolata,Asia,"China,","Freshwater,Anthropogenic biome,Grassland,Shrubland,Wetlands,Bog","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Lanceolated_warbler,https://www.iucnredlist.org/species/22714654/111074459,https://xeno-canto.org/699354",https://animalia.bio/lanceolated-warbler/,,,,,,,,,,,,,,
0,lancetailed-manakin,,,,,,,,,,,,,,https://animalia.bio/lancetailed-manakin/,,,,,,,,,,,,,,
0,landana-firefinch,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lagonosticta,Lagonosticta landanae,Africa,"South Africa,","Freshwater,Anthropogenic biome,Forest,Grassland,Savanna,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/Landana_firefinch,https://www.iucnredlist.org/species/22731403/111147608",https://animalia.bio/landana-firefinch/,"Angola,",,,,,,,,,,,,,
0,lanner-falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco biarmicus,"Europe,",Asia,"Temperate grasslands,Tropical savanna,Mediterranean forests, woodlands, and scrub,Desert,Tropical moist forests,Rocky areas,Forest,Mountains,Grassland,Shrubland,Anthropogenic biome,Savanna","Arboreal, ,Soaring birds, ,Altricial, ,Pursuit predator, ,Terrestrial, ,Territorial,  ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Lanner_falcon,https://www.iucnredlist.org/species/22696487/93567240,https://xeno-canto.org/577955",https://animalia.bio/lanner-falcon/,,"Africa,","bazaar, eyrie",,,,,,,,,,,
0,lapland-longspur,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Calcarius,Calcarius lapponicus,"Europe,","North America,","Freshwater,Anthropogenic biome,Grassland,Intertidal zone,Wetlands,Marine,Mountains","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Lapland_longspur,https://www.iucnredlist.org/species/22721033/111138693,https://xeno-canto.org/688953",https://animalia.bio/lapland-longspur/,Asia,,,,,,,,,,,,,
0,lappetfaced-vulture,,,,,,,,,,,,,,https://animalia.bio/lappetfaced-vulture/,,,,,,,,,,,,,,
0,large-blue-flycatcher,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cyornis,Cyornis magnirostris,Asia,"India,","Anthropogenic biome,Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Large_blue_flycatcher,https://www.iucnredlist.org/species/22735904/95121090,https://xeno-canto.org/660240",https://animalia.bio/large-blue-flycatcher/,,,,,,,,,,,,,,
0,large-cuckooshrike,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Coracina,Coracina macei,Asia,"India,","Anthropogenic biome,Forest,Savanna,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Large_cuckooshrike,https://www.iucnredlist.org/species/183458017/173326100,https://xeno-canto.org/684130",https://animalia.bio/large-cuckooshrike/,,,,,,,,,,,,,,
0,large-elaenia,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia spectabilis,South America,"Ecuador,","Freshwater,Anthropogenic biome,Forest,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/Large_elaenia,https://www.iucnredlist.org/species/22699265/93722196,https://xeno-canto.org/692376",https://animalia.bio/large-elaenia/,,,,,,,,,,,,,,
0,large-fig-parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittaculirostris,Psittaculirostris desmarestii,Asia,Indonesia,"Anthropogenic biome,Forest,Savanna,Mangrove,Mountains","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,"https://en.wikipedia.org/wiki/Large_fig_parrot,https://www.iucnredlist.org/species/22725599/94896928,https://xeno-canto.org/635015",https://animalia.bio/large-fig-parrot/,,,,,,,,,,,,,,
0,large-frogmouth,Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Batrachostomus,Batrachostomus auritus,Asia,"Brunei,","Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Large_frogmouth,https://www.iucnredlist.org/species/22689591/110849069,https://xeno-canto.org/610050",https://animalia.bio/large-frogmouth/,,,,,,,,,,,,,,
0,large-green-pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Treron,Treron capellei,Asia,"Brunei,","Forest,Agricultural,Anthropogenic biome,Rainforest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Large_green_pigeon,https://www.iucnredlist.org/species/22691198/93305641",https://animalia.bio/large-green-pigeon/,,,,,,,,,,,,,,
0,large-grey-babbler,Animalia,Chordata,Aves,Passeriformes,Leiotrichidae,Argya,Argya malcolmi,Asia,"India,","Anthropogenic biome,Savanna,Shrubland,Urban wildlife,Agricultural,Desert,Forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Large_grey_babbler,https://www.iucnredlist.org/species/22716361/94492467,https://xeno-canto.org/692987",https://animalia.bio/large-grey-babbler/,,,,,,,,,,,,,,
0,large-ground-finch,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Geospiza,Geospiza magnirostris,South America,Ecuador,"Forest,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Large_ground_finch,https://www.iucnredlist.org/species/22723729/94830750,https://xeno-canto.org/105783",https://animalia.bio/large-ground-finch/,,,,,,,,,,,,,,
0,large-hawkcuckoo,,,,,,,,,,,,,,https://animalia.bio/large-hawkcuckoo/,,,,,,,,,,,,,,
0,large-lifou-whiteeye,,,,,,,,,,,,,,https://animalia.bio/large-lifou-whiteeye/,,,,,,,,,,,,,,
0,large-niltava,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Niltava,Niltava grandis,Asia,"China,","Anthropogenic biome,Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Large_niltava,https://www.iucnredlist.org/species/22709464/94210271,https://xeno-canto.org/704254",https://animalia.bio/large-niltava/,,,,,,,,,,,,,,
0,large-scimitar-babbler,Animalia,Chordata,Aves,Passeriformes,Timaliidae,Erythrogenys,Erythrogenys hypoleucos,Asia,"China,","Forest,Shrubland,Mountains",,,"https://en.wikipedia.org/wiki/Large_scimitar_babbler,https://www.iucnredlist.org/species/22715943/94476538",https://animalia.bio/large-scimitar-babbler/,,,,,,,,,,,,,,
0,large-scrubwren,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis nouhuysi,Asia,"Papua New Guinea,","Anthropogenic biome,Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Large_scrubwren,https://www.iucnredlist.org/species/104008381/93975444,https://xeno-canto.org/498996",https://animalia.bio/large-scrubwren/,,,,,,,,,,,,,,
0,large-tree-finch,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Geospiza,Camarhynchus psittacula,South America,Ecuador,"Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Large_tree_finch,https://www.iucnredlist.org/species/22723768/94831841,https://xeno-canto.org/114147",https://animalia.bio/large-tree-finch/,,,,Galápagos,,,,,,,,,,
0,large-woodshrike,Animalia,Chordata,Aves,Passeriformes,Vangidae,Tephrodornis,Tephrodornis virgatus,Asia,"China,","Forest,Shrubland,Mangrove,Mountains",,,"https://en.wikipedia.org/wiki/Large_woodshrike,https://www.iucnredlist.org/species/103703834/94145293,https://xeno-canto.org/606836",https://animalia.bio/large-woodshrike/,,,,,,,,,,,,,,
0,large-wrenbabbler,,,,,,,,,,,,,,https://animalia.bio/large-wrenbabbler/,,,,,,,,,,,,,,
0,largebilled-antwren,,,,,,,,,,,,,,https://animalia.bio/largebilled-antwren/,,,,,,,,,,,,,,
0,largebilled-crow,,,,,,,,,,,,,,https://animalia.bio/largebilled-crow/,,,,,,,,,,,,,,
0,largebilled-gerygone,,,,,,,,,,,,,,https://animalia.bio/largebilled-gerygone/,,,,,,,,,,,,,,
0,largebilled-lark,,,,,,,,,,,,,,https://animalia.bio/largebilled-lark/,,,,,,,,,,,,,,
0,largebilled-leaf-warbler,,,,,,,,,,,,,,https://animalia.bio/largebilled-leaf-warbler/,,,,,,,,,,,,,,
0,largebilled-parrotlet,,,,,,,,,,,,,,https://animalia.bio/largebilled-parrotlet/,,,,,,,,,,,,,,
0,largebilled-reed-warbler,,,,,,,,,,,,,,https://animalia.bio/largebilled-reed-warbler/,,,,,,,,,,,,,,
0,largebilled-scrubwren,,,,,,,,,,,,,,https://animalia.bio/largebilled-scrubwren/,,,,,,,,,,,,,,
0,largebilled-seed-finch,,,,,,,,,,,,,,https://animalia.bio/largebilled-seed-finch/,,,,,,,,,,,,,,
0,largebilled-tern,,,,,,,,,,,,,,https://animalia.bio/largebilled-tern/,,,,,,,,,,,,,,
0,largefooted-finch,,,,,,,,,,,,,,https://animalia.bio/largefooted-finch/,,,,,,,,,,,,,,
0,largefooted-tapaculo,,,,,,,,,,,,,,https://animalia.bio/largefooted-tapaculo/,,,,,,,,,,,,,,
0,largeheaded-flatbill,,,,,,,,,,,,,,https://animalia.bio/largeheaded-flatbill/,,,,,,,,,,,,,,
0,largeheaded-flatbill1,,,,,,,,,,,,,,https://animalia.bio/largeheaded-flatbill1/,,,,,,,,,,,,,,
0,largespotted-nutcracker,,,,,,,,,,,,,,https://animalia.bio/largespotted-nutcracker/,,,,,,,,,,,,,,
0,largetailed-antshrike,,,,,,,,,,,,,,https://animalia.bio/largetailed-antshrike/,,,,,,,,,,,,,,
0,largetailed-nightjar,,,,,,,,,,,,,,https://animalia.bio/largetailed-nightjar/,,,,,,,,,,,,,,
0,lark-bunting,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Calamospiza,Calamospiza melanocorys,North America,"Canada,","Temperate grasslands,Mediterranean forests, woodlands, and scrub,Desert,Anthropogenic biome,Grassland,Shrubland","Terrestrial, ,Altricial, ,Arboreal, ,Oviparous, ,Territorial",Migrating,"https://en.wikipedia.org/wiki/Lark_bunting,http://www.iucnredlist.org/details/22721049/0,https://xeno-canto.org/665485",https://animalia.bio/lark-bunting/,,,"decoration, sacrifice, mural",,,,,,,,,,,
0,lark-sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chondestes,Chondestes grammacus,North America,"Bahamas,","Chaparral,Grassland,Anthropogenic biome,Forest","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Lark_sparrow,https://www.iucnredlist.org/species/22721191/94703535,https://xeno-canto.org/684352",https://animalia.bio/lark-sparrow/,"Cuba,",,,,,,,,,,,,,
0,larklike-brushrunner,,,,,,,,,,,,,,https://animalia.bio/larklike-brushrunner/,,,,,,,,,,,,,,
0,larklike-bunting,,,,,,,,,,,,,,https://animalia.bio/larklike-bunting/,,,,,,,,,,,,,,
0,lathams-francolin,Animalia,Chordata,Aves,Galliformes,Phasianidae,Peliperdix,Peliperdix lathami,Africa,"Equatorial Guinea,","Freshwater,Forest","Terrestrial, ,Oviparous, ,Precocial",Not a migrant,"https://en.wikipedia.org/wiki/Latham's_francolin,https://www.iucnredlist.org/species/22678748/92786819,https://xeno-canto.org/404577",https://animalia.bio/lathams-francolin/,,,,,,,,,,,,,,
0,lathams-snipe,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago hardwickii,Asia,"Japan,","Freshwater,Anthropogenic biome,Grassland,Wetlands,Agricultural","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Migrating,"https://en.wikipedia.org/wiki/Latham's_snipe,https://www.iucnredlist.org/species/22693078/93382638,https://xeno-canto.org/696859",https://animalia.bio/lathams-snipe/,,,,,,,,,,,,,,
0,latticetailed-trogon,,,,,,,,,,,,,,https://animalia.bio/latticetailed-trogon/,,,,,,,,,,,,,,
0,laughing-dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia,Spilopelia senegalensis,"Europe,","Asia,","Freshwater,Anthropogenic biome,Grassland,Savanna,Agricultural,Shrubland","Terrestrial, ,Oviparous, ,Gliding",Migrating,"https://en.wikipedia.org/wiki/Laughing_dove,https://www.iucnredlist.org/species/22690445/132060894,https://xeno-canto.org/626802",https://animalia.bio/laughing-dove/,"China,",,,,Africa,,,,,,,,,
0,laughing-falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Herpetotheres,Herpetotheres cachinnans,"South America,",North America,"Agricultural,Anthropogenic biome,Forest,Rainforest,Savanna,Neritic zone,Mountains,Rocky areas","Gliding, ,Terrestrial, ,Territorial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Laughing_falcon,https://www.iucnredlist.org/species/22696267/140969440,https://xeno-canto.org/706872",https://animalia.bio/laughing-falcon/,"Belize,",,,,,,,,,,,,,
0,laughing-gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Leucophaeus atricilla,"North America,","Caribbean Islands,","Intertidal zone,Estuaries,Coastal,Freshwater,Neritic zone,Marine,Wetlands,Marsh","Semiaquatic, ,Seabirds, ,Shorebirds, ,Precocial, ,Terrestrial, ,Congregatory, ,Oviparous, ,Soaring, ,Seabirds",Migrating,"https://en.wikipedia.org/wiki/Laughing_gull,https://www.iucnredlist.org/species/22694455/132552784,https://xeno-canto.org/669357",https://animalia.bio/laughing-gull/,,South America,"flotilla, gullery, screech, scavenging, squabble",,,,,,,,,,,
0,laughing-kookaburra,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,Dacelo novaeguineae,Oceania,"Australia,","Tropical dry forest,Rivers,Urban wildlife,Wetlands,Forest,Freshwater,Anthropogenic biome,Agricultural,Woodland,Shrubland","Arboreal, ,Altricial, ,Ambush predator, ,Terrestrial, ,Oviparous, ,Territorial, ,Sedentary",Not a migrant,"https://en.wikipedia.org/wiki/Laughing_kookaburra,https://www.iucnredlist.org/species/22683189/92977835,https://xeno-canto.org/696091",https://animalia.bio/laughing-kookaburra/,,,"flock, riot",,,Neornithes,Neognathae,Neoaves,Alcedini,Halcyoninae,,,,
0,laughing-owl,,,,,,,,,,,,,,https://animalia.bio/laughing-owl/,,,,,,,,,,,,,,
0,lauras-woodland-warbler,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus laurae,Africa,"Angola,","Forest,Woodland,Wetlands,Swamp",,,"https://en.wikipedia.org/wiki/Laura's_woodland_warbler,https://www.iucnredlist.org/species/22715200/94444499,https://xeno-canto.org/660770",https://animalia.bio/lauras-woodland-warbler/,,,,,,,,,,,,,,
0,laurel-pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba junoniae,Europe,Spain,"Anthropogenic biome,Caves and Subterranean Habitats,Forest,Shrubland,Mountains,Rocky areas,Agricultural",,,"https://en.wikipedia.org/wiki/Laurel_pigeon,https://www.iucnredlist.org/species/22690122/111025271,https://xeno-canto.org/394022",https://animalia.bio/laurel-pigeon/,,,,Canary Island,,,,,,,,,,
0,lava-gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Leucophaeus fuliginosus,South America,Ecuador,"Intertidal zone,Neritic zone,Coastal,Marine","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Territorial, ,Soaring, ,Seabird",Not a migrant,"https://en.wikipedia.org/wiki/Lava_gull,https://www.iucnredlist.org/species/22694452/132552501,https://xeno-canto.org/332878",https://animalia.bio/lava-gull/,,,,Galápagos,,,,,,,,,,
0,lava-heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides sundevalli,,Ecuador,"Coastal,Estuaries,Mangrove,Intertidal zone,Rocky areas,Wetlands,Swamp","Arboreal, ,Island endemic, ,Terrestrial, ,Territorial, ,Oviparous, ,Precocial, ,Altricial, ,Soaring",Not a migrant,https://en.wikipedia.org/wiki/Lava_heron,https://animalia.bio/lava-heron/,,,,Galápagos,,Neornithes,Neognathae,Neoaves,,,,,,
0,lavender-waxbill,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Estrilda,Glaucestrilda caerulescens,Africa,"Benin,","Anthropogenic biome,Savanna,Shrubland",,,"https://en.wikipedia.org/wiki/Lavender_waxbill,https://www.iucnredlist.org/species/22719518/131994177",https://animalia.bio/lavender-waxbill/,,,,,"Burkina Faso,",,,,,,,,,
0,lawess-parotia,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Parotia,Parotia lawesii,,Papua New Guinea,"Anthropogenic biome,Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Lawes's_parotia,https://www.iucnredlist.org/species/103728331/112747286,https://xeno-canto.org/595827",https://animalia.bio/lawess-parotia/,,,,,,,,,,,,,,
0,lawrences-goldfinch,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus lawrencei,North America,"Mexico,","Agricultural,Anthropogenic biome,Chaparral,Forest,Marsh,Wetlands,Mountains,Riparian,Grassland,Shrubland,Suburban,Urban wildlife","Arboreal, ,Zoochory, ,Terrestrial, ,Territorial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Lawrence's_goldfinch,https://www.iucnredlist.org/species/22720413/94669753,https://xeno-canto.org/661826",https://animalia.bio/lawrences-goldfinch/,,,,,,,,,,Carduelinae,,,,
0,lawrences-thrush,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus lawrencii,South America,"Ecuador,","Forest,Wetlands,Swamp",,,"https://en.wikipedia.org/wiki/Lawrence's_thrush,https://www.iucnredlist.org/species/22708902/132078295,https://xeno-canto.org/592257",https://animalia.bio/lawrences-thrush/,,,,,,,,,,,,,,
0,layards-parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nicopsitta,Psittacula calthrapae,Asia,Sri Lanka,"Forest,Agricultural,Anthropogenic biome","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,"https://en.wikipedia.org/wiki/Layard's_parakeet,https://www.iucnredlist.org/species/22685493/93076014,https://xeno-canto.org/649190",https://animalia.bio/layards-parakeet/,,,,,,,,,,,,,,
0,layards-warbler,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Curruca layardi,Africa,"South Africa,",Shrubland,,,"https://en.wikipedia.org/wiki/Layard's_warbler,https://www.iucnredlist.org/species/22716888/94515668",https://animalia.bio/layards-warbler/,,,,,,,,,,,,,,
0,layards-woodcreeper,,,,,,,,,,,,,,https://animalia.bio/layards-woodcreeper/,,,,,,,,,,,,,,
0,laysan-albatross,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria immutabilis,"North America,",Oceania,"Intertidal zone,Oceanic pelagic zone,Neritic zone,Desert,Marine","Semiaquatic, ,Seabirds, ,Pelagic birds, ,Precocial, ,Soaring birds, ,Nomadic, ,Terrestrial, ,Congregatory, ,Oviparous, ,Soaring, ,Seabirds","Not a migrant, ,Migrating","https://en.wikipedia.org/wiki/Laysan_albatross,http://www.iucnredlist.org/details/22698365/0,https://xeno-canto.org/209430",https://animalia.bio/laysan-albatross/,East Asia,"Asia,","flight, weight, flock, rookery, gam",,,,,,,,"Canada,",,,
0,laysan-apapane,,,,,,,,,,,,,,https://animalia.bio/laysan-apapane/,,,,,,,,,,,,,,
0,laysan-duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas laysanensis,North America,United States,"Coastal,Freshwater,Intertidal zone,Shrubland,Marine","Terrestrial, ,Oviparous, ,Precocial, ,Waterfowl",Not a migrant,"https://en.wikipedia.org/wiki/Laysan_duck,https://www.iucnredlist.org/species/22680203/130697270,https://xeno-canto.org/135836",https://animalia.bio/laysan-duck/,Hawaiian Is.,,,,,,,,,,Pacific Ocean,,,
0,laysan-finch,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Telespiza,Telespiza cantans,North America,United States,"Grassland,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Laysan_finch,https://www.iucnredlist.org/species/22720728/131886478",https://animalia.bio/laysan-finch/,Hawaiian Is.,,,,,,,,,,,,,
0,laysan-honeycreeper,,,,,,,,,,,,,,https://animalia.bio/laysan-honeycreeper/,,,,,,,,,,,,,,
0,laysan-rail,,,,,,,,,,,,,,https://animalia.bio/laysan-rail/,,,,,,,,,,,,,,
0,lazuli-bunting,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina amoena,North America,"Mexico,","Agricultural,Anthropogenic biome,Chaparral,Forest,Riparian,Grassland,Shrubland,Suburban,Urban wildlife","Arboreal, ,Terrestrial, ,Territorial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Lazuli_bunting,https://www.iucnredlist.org/species/22723948/94841556,https://xeno-canto.org/690688",https://animalia.bio/lazuli-bunting/,,,,,,,,,,,,,,
0,lazuli-kingfisher,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus lazuli,Asia,Indonesia,"Anthropogenic biome,Forest,Agricultural,Mangrove","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Lazuli_kingfisher,https://www.iucnredlist.org/species/22683310/92983711",https://animalia.bio/lazuli-kingfisher/,,,,,,Neornithes,Neognathae,Neoaves,Alcedini,Halcyoninae,,,,
0,lazuline-sabrewing,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Campylopterus,Campylopterus falcatus,South America,"Ecuador,","Anthropogenic biome,Forest,Grassland,Mountains",,,"https://en.wikipedia.org/wiki/Lazuline_sabrewing,https://www.iucnredlist.org/species/22687083/93138520,https://xeno-canto.org/693365",https://animalia.bio/lazuline-sabrewing/,,,,,,,,,,,,,,
0,lazy-cisticola,,,,,,,,,,,,,,https://animalia.bio/lazy-cisticola/,,,,,,,,,,,,,,
0,leachs-storm-petrel,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Oceanodroma leucorhoa,"Europe,","North America,","Intertidal zone,Neritic zone,Oceanic pelagic zone,Coastal,Marine,Rocky areas","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Burrowing, ,Soaring, ,Seabird",Migrating,"https://en.wikipedia.org/wiki/Leach's_storm_petrel,https://www.iucnredlist.org/species/132438298/132438484,https://xeno-canto.org/667990",https://animalia.bio/leachs-storm-petrel/,"Asia,",,,"South America,",,,,,,,,,,
0,leaden-antwren,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula assimilis,South America,"Bolivia,","Freshwater,Forest,Shrubland,Wetlands","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Leaden_antwren,https://www.iucnredlist.org/species/22701540/130213938,https://xeno-canto.org/663819",https://animalia.bio/leaden-antwren/,,,,,,,,,,,,,,
0,leaden-flycatcher,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Myiagra,Myiagra rubecula,Asia,"Australia,","Forest,Savanna,Rainforest,Woodland,Mangrove,Shrubland","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Leaden_flycatcher,https://www.iucnredlist.org/species/22707377/94120225,https://xeno-canto.org/629344",https://animalia.bio/leaden-flycatcher/,,,,,,,,,,,,,,
0,leaden-honeyeater,,,,,,,,,,,,,,https://animalia.bio/leaden-honeyeater/,,,,,,,,,,,,,,
