,Attribute,Perc,BenchMark
78,Total length,0.045662100456621,0.026966292134831458
79,invasive in,0.030441400304414005,0.017977528089887642
80,Leaf Complexity,0.030441400304414005,0.017977528089887642
81,leaf morphology,0.030441400304414005,0.017977528089887642
82,life cycle habit,0.030441400304414005,0.017977528089887642
83,photosynthetic pathway,0.030441400304414005,0.017977528089887642
84,plant lifeform,0.030441400304414005,0.017977528089887642
85,developmental mode,0.030441400304414005,0.017977528089887642
86,wing morphology,0.030441400304414005,0.017977528089887642
87,standard length,0.015220700152207002,0.008988764044943821
88,seed dry mass,0.015220700152207002,0.008988764044943821
89,after harvest regrowth rate,0.015220700152207002,0.008988764044943821
90,anaerobic soil tolerance,0.015220700152207002,0.008988764044943821
91,bloom period,0.015220700152207002,0.008988764044943821
92,calcareous soil tolerance,0.015220700152207002,0.008988764044943821
93,fire resistance,0.015220700152207002,0.008988764044943821
94,fire tolerance,0.015220700152207002,0.008988764044943821
95,fruit or seed color,0.015220700152207002,0.008988764044943821
96,planting density,0.015220700152207002,0.008988764044943821
97,precipitation tolerance,0.015220700152207002,0.008988764044943821
98,seeds per pound,0.015220700152207002,0.008988764044943821
99,spore arrangement,0.015220700152207002,0.008988764044943821
100,leaf sheddability,0.015220700152207002,0.008988764044943821
101,fruit type,0.015220700152207002,0.008988764044943821
102,leaf lamina area,0.015220700152207002,0.008988764044943821
103,leaf mass per area,0.015220700152207002,0.008988764044943821
104,leaf nitrogen per dry mass,0.015220700152207002,0.008988764044943821
105,vegetative plant height,0.015220700152207002,0.008988764044943821
106,leaf arrangement,0.015220700152207002,0.008988764044943821
107,supporting structures and enclosures,0.015220700152207002,0.008988764044943821
108,diet breadth,0.015220700152207002,0.008988764044943821
109,geographic range (size of area),0.015220700152207002,0.008988764044943821
110,habitat breadth,0.015220700152207002,0.008988764044943821
111,social group size,0.015220700152207002,0.008988764044943821
112,territorial,0.015220700152207002,0.008988764044943821
4,Order,100.0,49.671910112359555
5,Family,100.0,49.671910112359555
6,Binomial Name,100.0,49.671910112359555
0,Categories,100.0,99.41573033707866
3,Image,100.0,99.41573033707866
4,References,100.0,99.41573033707866
5,Wiki URL,100.0,99.41573033707866
7,Genus,99.99095840867993,99.40674157303371
11,Species,99.94575045207957,99.36179775280898
14,Conservation status,92.8390596745027,92.29662921348314
15,Country,70.42495479204341,70.01348314606741
16,Habitat,46.50994575045208,46.23820224719101
